date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:30:56	74967/74967	---M--	200	added ('OK')	image/png	date:Tue,%2011%20Aug%202015%2001:24:04%20GMT	https://goitmc.com/uploads/2015/08/801e3dc6bc8c5d2188947eb407f3eec7.png	C:/xampp/htdocs/plantillas/plantilla/goitmc.com/uploads/2015/08/801e3dc6bc8c5d2188947eb407f3eec7.png	(from https://goitmc.com/training/adobe/lightroom)
23:30:56	14263/14263	---M--	200	added ('OK')	image/png	date:Tue,%2011%20Aug%202015%2001:25:03%20GMT	https://goitmc.com/uploads/2015/08/dffd06a6dbf9a16203d11a7e2af93e82.png	C:/xampp/htdocs/plantillas/plantilla/goitmc.com/uploads/2015/08/dffd06a6dbf9a16203d11a7e2af93e82.png	(from https://goitmc.com/training/adobe/dreamweaver)
23:30:57	183/183	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2022%20Jul%202016%2003:30:56%20GMT	http://d3hdz4r8kacav0.cloudfront.net/css/step.css	C:/xampp/htdocs/plantillas/plantilla/d3hdz4r8kacav0.cloudfront.net/css/step.118.delayed	(from https://goitmc.com/courses/registration/makNxGjQ)
23:30:57	1455/1455	---M--	200	added ('OK')	text/css	date:Wed,%2012%20Aug%202015%2006:04:41%20GMT	https://d3hdz4r8kacav0.cloudfront.net/css/step.css	C:/xampp/htdocs/plantillas/plantilla/d3hdz4r8kacav0.cloudfront.net/css/step.css	(from https://goitmc.com/courses/registration/makNxGjQ)
23:30:57	183/183	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2022%20Jul%202016%2003:30:57%20GMT	http://d3hdz4r8kacav0.cloudfront.net/uploads/2016/02/osxecwallpaper.jpg	C:/xampp/htdocs/plantillas/plantilla/d3hdz4r8kacav0.cloudfront.net/uploads/2016/02/osxecwallpaper.jpg	(from https://goitmc.com/courses/registration/makNxGjQ)
23:30:58	183/183	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2022%20Jul%202016%2003:30:58%20GMT	http://d3hdz4r8kacav0.cloudfront.net/uploads/2015/08/547626aea847c86cc5a47e5a8c88c815.jpg	C:/xampp/htdocs/plantillas/plantilla/d3hdz4r8kacav0.cloudfront.net/uploads/2015/08/547626aea847c86cc5a47e5a8c88c815.jpg	(from https://goitmc.com/courses/registration/Wn98g6Ao)
23:31:00	183/183	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2022%20Jul%202016%2003:30:58%20GMT	http://d3hdz4r8kacav0.cloudfront.net/uploads/2015/08/ced0e807b7c10580cb5fe505f3dc9da9.jpg	C:/xampp/htdocs/plantillas/plantilla/d3hdz4r8kacav0.cloudfront.net/uploads/2015/08/ced0e807b7c10580cb5fe505f3dc9da9.jpg	(from https://goitmc.com/courses/registration/xbNgEDZq)
23:31:00	229128/229128	---M--	200	added ('OK')	image/jpeg	date:Thu,%2004%20Feb%202016%2019:18:41%20GMT	https://d3hdz4r8kacav0.cloudfront.net/uploads/2016/02/osxecwallpaper.jpg	C:/xampp/htdocs/plantillas/plantilla/d3hdz4r8kacav0.cloudfront.net/uploads/2016/02/osxecwallpaper.jpg	(from https://goitmc.com/courses/registration/makNxGjQ)
23:31:00	191270/191270	---M--	200	added ('OK')	image/jpeg	date:Tue,%2011%20Aug%202015%2001:17:39%20GMT	https://d3hdz4r8kacav0.cloudfront.net/uploads/2015/08/547626aea847c86cc5a47e5a8c88c815.jpg	C:/xampp/htdocs/plantillas/plantilla/d3hdz4r8kacav0.cloudfront.net/uploads/2015/08/547626aea847c86cc5a47e5a8c88c815.jpg	(from https://goitmc.com/courses/registration/Wn98g6Ao)
23:31:02	183/183	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2022%20Jul%202016%2003:31:01%20GMT	http://d3hdz4r8kacav0.cloudfront.net/uploads/2015/08/c54ed5ff7e7b066978cd3abaae590557.png	C:/xampp/htdocs/plantillas/plantilla/d3hdz4r8kacav0.cloudfront.net/uploads/2015/08/c54ed5ff7e7b066978cd3abaae590557.png	(from https://goitmc.com/courses/registration/5ZKQGnlb)
23:31:02	112061/112061	---M--	200	added ('OK')	image/jpeg	date:Tue,%2011%20Aug%202015%2001:18:31%20GMT	https://d3hdz4r8kacav0.cloudfront.net/uploads/2015/08/ced0e807b7c10580cb5fe505f3dc9da9.jpg	C:/xampp/htdocs/plantillas/plantilla/d3hdz4r8kacav0.cloudfront.net/uploads/2015/08/ced0e807b7c10580cb5fe505f3dc9da9.jpg	(from https://goitmc.com/courses/registration/xbNgEDZq)
23:31:03	183/183	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2022%20Jul%202016%2003:31:02%20GMT	http://d3hdz4r8kacav0.cloudfront.net/uploads/2016/07/whats_new_large.jpg	C:/xampp/htdocs/plantillas/plantilla/d3hdz4r8kacav0.cloudfront.net/uploads/2016/07/whats_new_large.jpg	(from https://goitmc.com/courses/registration/grLaBEW1)
23:31:05	145867/145867	---M--	200	added ('OK')	image/jpeg	date:Fri,%2008%20Jul%202016%2021:50:13%20GMT	https://d3hdz4r8kacav0.cloudfront.net/uploads/2016/07/whats_new_large.jpg	C:/xampp/htdocs/plantillas/plantilla/d3hdz4r8kacav0.cloudfront.net/uploads/2016/07/whats_new_large.jpg	(from https://goitmc.com/courses/registration/grLaBEW1)
23:31:06	420325/420325	---M--	200	added ('OK')	image/png	date:Tue,%2011%20Aug%202015%2001:19:13%20GMT	https://d3hdz4r8kacav0.cloudfront.net/uploads/2015/08/c54ed5ff7e7b066978cd3abaae590557.png	C:/xampp/htdocs/plantillas/plantilla/d3hdz4r8kacav0.cloudfront.net/uploads/2015/08/c54ed5ff7e7b066978cd3abaae590557.png	(from https://goitmc.com/courses/registration/5ZKQGnlb)
